row_0,0,1,2,3,4,5,6
172.28.144.1,2,0,0,0,0,0,0
192.168.1.235,2,0,0,0,0,0,0
192.168.111.10,1,0,0,1,0,0,0
192.168.111.102,1,1,0,0,0,0,0
192.168.111.3,109,0,0,0,0,0,0
192.168.119.151,175,0,0,0,0,0,0
192.168.119.154,546,0,0,0,0,0,0
192.168.119.155,261,0,0,0,0,0,0
192.168.119.156,438,0,0,0,0,0,0
192.168.119.157,169,0,0,0,0,0,0
192.168.119.50,658,0,0,0,0,0,0
192.168.119.51,657,0,0,0,0,0,0
192.168.119.52,531,0,0,3,0,0,0
192.168.119.54,69,0,0,0,0,0,0
192.168.120.1,102,0,0,0,0,0,0
192.168.120.10,280,0,0,1,0,0,0
192.168.120.11,43,0,0,0,0,0,0
192.168.120.3,513,67,0,75,4,1,0
192.168.120.32,9,4,1,13,0,0,0
192.168.120.33,1,0,0,1,0,0,0
192.168.120.60,660,0,0,0,0,0,0
192.168.120.63,660,0,0,0,0,0,0
192.168.120.65,11,1,0,10,0,0,0
192.168.120.66,4,0,0,2,0,0,0
192.168.120.67,660,0,0,0,0,0,0
192.168.120.68,661,0,0,0,0,0,0
192.168.120.71,8,0,0,6,0,0,0
192.168.120.72,660,0,0,0,0,0,0
192.168.121.10,98,0,0,1,0,0,0
192.168.121.101,10,0,0,0,0,0,0
192.168.121.11,108,0,1,0,0,1,0
192.168.121.13,154,0,0,0,0,0,0
192.168.121.14,50,0,0,0,0,0,0
192.168.121.15,147,0,0,2,0,0,0
192.168.121.150,1,0,0,0,0,0,0
192.168.121.16,99,0,0,0,0,0,0
192.168.121.17,102,0,1,0,0,0,0
192.168.121.19,33,0,0,1,0,0,0
192.168.121.2,76,0,0,0,0,0,0
192.168.121.20,125,0,0,0,0,0,0
192.168.121.21,180,0,0,2,0,0,1
192.168.121.22,110,0,0,0,0,0,0
192.168.121.23,82,0,0,0,0,0,0
192.168.121.24,114,0,0,0,0,0,0
192.168.121.25,127,0,0,0,0,0,0
192.168.121.26,137,0,0,0,0,0,0
192.168.121.27,99,0,0,1,0,0,0
192.168.121.28,205,0,0,2,0,0,0
192.168.121.29,144,0,0,2,0,0,0
192.168.121.3,70,0,0,0,0,0,0
192.168.121.30,116,0,0,0,0,0,0
192.168.121.31,55,0,1,9,2,0,0
192.168.121.32,133,0,0,2,0,0,1
192.168.121.33,25,0,0,10,0,0,0
192.168.121.34,111,0,0,1,0,0,0
192.168.121.35,3,0,0,0,0,0,0
192.168.121.36,357,0,0,0,0,0,0
192.168.121.38,212,0,0,37,0,0,0
192.168.121.39,60,0,0,0,0,0,0
192.168.121.4,186,0,0,0,0,0,0
192.168.121.40,112,0,0,1,0,0,0
192.168.121.41,94,0,0,0,0,0,0
192.168.121.43,50,0,0,3,0,0,0
192.168.121.44,6,0,0,0,0,0,0
192.168.121.45,3,0,0,0,0,0,0
192.168.121.46,7,0,0,0,0,0,0
192.168.121.47,36,0,0,1,0,0,0
192.168.121.48,57,0,1,3,0,1,2
192.168.121.49,157,0,0,0,0,0,0
192.168.121.5,179,0,0,0,0,0,1
192.168.121.50,24,0,0,0,0,0,0
192.168.121.51,50,0,0,0,0,0,0
192.168.121.52,194,0,0,2,0,0,1
192.168.121.53,289,0,0,0,0,0,0
192.168.121.54,163,0,0,0,0,0,0
192.168.121.55,98,0,0,0,0,0,0
192.168.121.56,13,0,0,0,0,0,0
192.168.121.57,55,0,0,4,4,0,1
192.168.121.58,65,0,0,0,0,0,0
192.168.121.59,37,2,0,1,1,0,0
192.168.121.6,71,0,0,0,0,0,0
192.168.121.60,49,0,0,0,0,0,0
192.168.121.61,26,0,0,0,0,0,0
192.168.121.62,491,0,0,0,0,0,0
192.168.121.63,2,0,0,0,0,0,0
192.168.121.64,1,0,2,0,0,0,0
192.168.121.65,109,0,0,0,0,0,0
192.168.121.66,112,0,0,0,0,0,0
192.168.121.68,1,0,1,1,0,0,0
192.168.121.69,9,0,0,0,0,0,0
192.168.121.71,8,0,0,0,0,0,0
192.168.121.76,196,2,1,3,2,0,0
192.168.121.8,595,0,0,0,0,0,0
192.168.121.80,23,2,0,3,1,1,0
192.168.140.108,74,0,0,0,0,0,0
192.168.140.110,121,0,0,0,0,0,0
192.168.147.102,660,0,0,0,0,0,0
192.168.147.125,2,0,0,0,0,0,0
192.168.147.158,660,0,0,0,0,0,0
192.168.147.161,106,1,0,2,0,0,0
192.168.147.170,574,0,0,0,0,0,0
192.168.147.223,1,0,0,0,0,0,0
192.168.147.231,2,0,0,0,0,0,0
192.168.147.32,40,0,0,0,0,0,0
192.168.147.33,13,0,0,0,0,0,0
192.168.191.46,3,0,0,0,0,0,0
192.168.197.50,431,1,0,0,0,0,0
192.168.197.51,386,2,0,2,0,0,0
192.168.197.52,442,0,0,4,0,0,0
192.168.197.53,284,1,0,4,0,0,0
192.168.197.54,181,2,0,6,0,0,1
192.168.197.55,206,0,0,0,0,0,0
192.168.197.56,70,0,0,0,0,0,0
192.168.197.57,42,0,0,2,0,0,0
192.168.198.10,112,0,0,0,0,0,0
192.168.198.119,179,0,0,0,0,0,0
192.168.198.120,572,0,0,59,0,0,29
192.168.198.73,0,0,0,660,0,0,0
192.168.199.10,274,0,0,0,0,0,0
192.168.199.11,1,0,0,0,0,0,1
192.168.199.12,594,0,0,0,0,1,0
192.168.199.40,170,0,0,0,0,0,0
192.168.2.111,659,0,0,0,0,0,0
192.168.2.112,660,0,0,0,0,0,0
192.168.2.220,21,1,0,26,0,0,0
192.168.2.221,1,1,0,656,2,0,0
192.168.2.226,0,0,0,654,0,1,0
192.168.2.231,660,0,0,0,0,0,0
192.168.2.26,53,0,0,0,0,0,0
192.168.2.39,57,0,0,0,0,0,0
192.168.2.4,110,0,0,0,0,0,0
192.168.2.40,55,0,0,0,0,0,0
192.168.2.5,634,0,0,0,0,0,0
192.168.214.1,2,0,0,0,0,0,0
192.168.217.1,34,0,0,0,0,0,0
192.168.237.10,26,0,0,0,0,0,0
192.168.238.1,5,0,0,0,0,0,0
192.168.253.1,34,0,0,0,0,0,0
192.168.4.11,11,0,0,0,0,0,0
192.168.4.12,39,0,0,0,0,0,0
192.168.4.13,2,0,0,0,0,0,0
192.168.4.14,5,0,0,0,0,0,0
192.168.4.15,5,1,0,0,0,0,0
192.168.4.16,3,0,0,0,0,0,0
192.168.4.18,435,0,0,0,1,0,0
192.168.4.19,273,0,0,0,0,0,0
192.168.6.10,28,0,0,0,0,0,0
192.168.6.11,341,0,0,0,0,0,0
192.168.6.12,6,0,0,0,0,0,0
